Title,JobDescription,JobRequirment,RequiredQual,IT
Project Manager,"The UNDP and the Ministry of Health seek
professionals for the project ""HIV/AIDS and Uniformed Services''","- Daily management of project activities by leading, supervising and
monitoring the project staff and expert groups for conducting KAP
(Knowledge, Attitude, Practices) surveys among 600 uniformed personnel,
undertaking Situation and Response Analysis, developing Specific
Strategic Plan on HIV/AIDS Interventions for Uniformed Services; 
- Liaise with relevant Ministries, programs, international and local
counterparts, especially HIV/AIDS Focal Points in three cooperating
ministries: Ministry of Justice, Ministry of Defence and the Police;
- Reporting to the Ministry of Health and UNDP on the outputs of the
project.","- Advanced university degree in public health or related field with at
least 3 years of working experience with international organizations;
- Good knowledge on the institutional framework of the Armenia's
HIV/AIDS Prevention system;
- Good knowledge on UNAIDS policies and strategies and familiarity with
other global and regional initiatives, including Armenia project funded
by Global Fund to fight AIDS, TB and Malaria;
- Strong analytical skills, ability to make recommendations and present
proposals for improvement or change of project activities; 
- Proficiency in the usage of computers and office software package (MS
Word, Excel, Internet, Intranet);
- Good team work spirit;
- Proficiency in Armenian and Russian, good knowledge of English is an
asset.",False
Office Manager (AVET1),"IFOA the international consulting company which has
been awarded the contract by the delegation of the European Commission
in Yerevan seeks to fill the post of Office Manager. Office Manager will
be responsible for maintaining an efficient and well run project office
in Yerevan.","- Management of all administrative staff;
- Ensuring the quality of all translated documents produced by the
project;
- Maintenance of financial records;
- Preparation of reports;
- Developing and maintaining an effective PR strategy for the project;
- Coordinating the activities of administrative staff in the Lori and
Tavoush regional offices;
- Liaison between the Team Leader and the IFOA head office;
- Providing logistical support to International and Local experts
employed by the project;
- Some travel to the regional offices is envisaged.","- Higher education;
- Relevant work experience;
- Fluent in Armenian and English;
- Good working knowledge of Russian;
- Computer literate;
- Good organisational and interpersonal skills;
- Self-initiative and problem solving skills;
- Experience in maintaining financial records;
- Knowledge of TACIS accounting regulations is an advantage.
REMUNERATION:   Remuneration package will be competitive.",False
English Translator/ Interpreter,"Medecins Sans Frontieres - Belgium is seeking an
English Translator/ Interpreter to work in the framework of its Mental
Health project in Gegharkunik Marz.",,"- Corresponding higher education;
- Corresponding work experience, preferably with international
organizations;
- Good computer skills;
- Strong communication skills and high level of motivation;
- Availability to be based in Sevan during weekdays;
- Ability to travel frequently within Armenia.",False
Kurt Schork Awards in International Journalism,,,,False
Administrative Assistant,"Vem Radio Station (FM 101.6) is seeking a qualified
Administrative Assistant.","Duties will include, but are not limited to:
- Managing the general operations of the office;
- Writing proposals and letters;
- Developing texts for web site;
- Answering phone calls;
- Setting up meetings, etc.","- University degree preferably majoring in English language;
- Excellent writing skills;
- Strong interpersonal and presentation skills;
- Fluency in Armenian, English and Russian;
- Working experience as an Administrative Assistant is preferable.",False
"Political Assistant, FSN-9; FP-05* (steps 1-4)","Provides research, reporting, advisory and related
services to broad scope and sensitivity in the field of political
reporting. Follows issues involving Armenian political events as well as
human rights, refugees, national minorities, women and children rights.
Obtains information and prepares factual and analytical reports.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61",,"NOTE: All applicants are instructed to
address each selection criterion detailed below with specific and
comprehensive information supporting each criteria.
- University degree or equivalent, with strong background in history,
social sciences, international relations, law, or other field demanding
analytical and writing skills;
- Three years of progressively responsible work in an office or academic
environment;
- Level 4 (fluent) in English and Russian and level 5 (professional) in
Armenian;
- Strong social, interpersonal and telephone skills;
- Knowledge of Armenian history, culture, political institutions,
structure, government and foreign relations.
SELECTION PROCESS:   When equally qualified, Eligible Family Members and
U.S. Veterans will be given preference. Therefore, it is essential that
all candidates address the required qualifications above in the
application. 
ADDITIONAL SELECTION CRITERIA: 
1. Management will consider nepotism/ conflict of interest, budget, and
visa status in determining successful candidacy.
2. Current employees serving a probationary period are not eligible to
apply.
3. Currently employed AEFMs who hold a FMA appointment are ineligible to
apply for advertised positions within the first 90 calendar days of
their employment.  
REMUNERATION:  *EFM/MOH/NOR: Position Grade: FP-05 to be confirmed by
Washington
*Ordinarily Resident: Position Grade: FSN-9",False
Technical Project Manager,"Yerevan Brandy Company is seeking qualified
candidates to fill the position of Technical Project Manager.","- Coordinating technical and investment projects;
- Elaborating and introducing technical projects.","- Technical education (qualification of an engineer-mechanic is
desirable);
- At least 2 years of mechanical work experience;
- Work experience in elaborating and coordinating technical projects;
- Good knowledge of English language;
- Knowledge of MS Office.
REMUNERATION:   Will be commensurate with the norms accepted in the
company.",False
AutoCAD Operator,"Yerevan Brandy Company is seeking qualified
candidates to fill the position of Technical Project Manager.","Drawing works in Engineering and Maintenance
Department","- Higher technical education (qualification of an engineer is
desirable);
- Excellent knowledge of the AutoCAD and relevant work experience with
that programme;
- Good knowledge of English language.
REMUNERATION:   Will be commensurate with the norms accepted in the
company.",False
Chemist - Organic/ Polymer,"H2 ECOnomy is seeking qualified candidate to fill the
position of Chemist - Organic/ Polymer.","Work with members of scientific team to develop
and prepare membranes.","- Advanced degree in chemistry;
- Knowledge of Armenian, Russian is essential and English language is
desirable.
REMUNERATION:   Competitive",False
Language and Administrative Assistant,"The OSCE Office in Yerevan invites applications from
highly qualified, energetic and experienced Armenian professionals for
the post of Language and Administrative Assistant.","Under supervision of the Head of Office the
incumbent will perform the following tasks: 
- Provide high quality written translations of draft laws, regulations,
comments to legislation, reports, other documents/ correspondence from
Armenian and Russian into English and vice versa for all programmes of
the office;
- Act as interpreter for the office staff and other OSCE officials as
and when needed, at meetings/ conferences;
- Arrange appointments for the Head of Office and draft routine
correspondence for him/her;
- Maintain proper electronic and paper filing systems;
- Perform other related duties as requited.","- Secondary education with a specialization in the English language; 
- Formal training in translation would be a strong asset; 
- Excellent English, Armenian and Russian language skills (written and
oral); 
- A practical translation/ interpretation experience with legal
terminology would be an asset; 
- Previous experience of working for international organizations will be
also an asset;
- Excellent interpersonal and communication skills, strong
organizational and time management skills are a must; 
- Advanced computer skills, including word processing, spreadsheet and
desktop publishing programmes.",False
Annual Program Statement: Implementation and Extension of,,,,False
International Prize for R&D in Biomedicine and New Technologies,,,,False
Mobile Medical Team (MMT) Project Manager,"World Vision Armenia encourages strong, experienced
and inspired Managers in the field of Primary Health Care to apply for
this strategic position that will provide leadership and oversight to
the development and implementation of the MMT project as per the
requirements of USAID and World Vision.",,"The successful candidate to manage this
project will demonstrate the following qualifications and competencies:
- Medical background and Masters degree in Public Health from recognized
university;
- At least 2 years of relevant management experience with international
organizations;
- Proven experience in working with government officials, NGOs and Donor
agencies;
- Strong skills in management, monitoring, analyzing, and evaluating of
programmatic information;
- Excellent knowledge of Primary Health Care in Armenia;
- Previous experience of working in USAID funded grants is a plus;
- Proven time-management skills combined with strong interpersonal and
communication skills;
- Ability to motivate and lead team members to achieve projected goals;
- Demonstrated problem-solving, negotiation and skills;
- Demonstrated ability to work collaboratively with a broad range of
professional counterparts within and outside of the organization;
- Prepared to spend at least 30% of time outside of Yerevan including
some overnight stays in the field;
- Fluent in verbal and written English, Armenian and Russian;
- Understands and agrees with World Vision Core Values and Mission
Statement.",False
,"The Career Placement and Counseling Office (CPCO)
within the Armenian Agricultural Academy (AAA) is designed to serve the
graduates of the AAA and is intended to increase the employment
potential of recent AAA graduates and support their job placement within
Armenia's agribusiness sector. The Office will develop linkages between
the AAA and Armenian private enterprises, NGOs and local farmer
associations. The Office will also advise graduating students on
advanced domestic and international degree programs and participate in
recruitment of students from the rural areas of Armenia. 
The Project is funded by Eurasia Foundation, the Cafesjian Family
Foundation and USDA MAP.","- Establish strong links with the Armenian businesses and NGO sector to
support job placement of the students and alumni; 
- Organize workshops/ seminars on topics related to writing resumes,
cover letters, develop interview techniques and job search tools and
strategies, etc.;
- Provide job counseling to current students and alumni; 
- Survey and monitor job market; 
- Organize promotional activities for AAA graduates (promote academic
achievements of the Center; participate in the exhibitions, develop
booklets, information brochures, posters and other);
- Organize career fairs;
- Collect job vacancies from local employers and inform local employers
of available students and alumni;
- Organize networking events for alumni and students;
- Organize recruitment activities of students from rural areas;
- Provide monthly accomplishment reports;
- Supervise the CPCO assistant.
The CPCO Officer directly reports to the Project Director.","- Masters degree in Public Relations or Human Resources or experience in
a similar position;
- Minimum of 2 years related work experience;
- Knowledge of local businesses and NGOs;
- Excellent interpersonal and communication skills;
- Excellent language skills in Armenian and English, Russian is an
asset;
- Excellent computer skills (MS Access, Word, Excel, Power Point, etc.),
ability to set up and use databases.",False
Project Officer,"The Project Officer oversees daily operations and
technical quality of the Community Self-Help Fund (CSHF) projects and
provides technical support to small sub-grants' recipients through the
implementation process. The Project Officer is responsible for assuring
community-based projects' quality and adherence to CSHF criteria and
procedures and SC's policies and procedures. This person is responsible
for maintaining collaborative working relationships with sub-grantees
and is taking an active role in coordination of program interventions
with local level governments. The Project Officer reports to the CSHF
Program Manager (PM) and oversees successful and timely implementation
of sub-grantees' activities.","- Assist the PM in organizing the CSHF Calls for Proposals including
posting advertisements in newspapers, central and marz-based TV
stations.  Participate in development of schedule for
Training/Information Meetings in marz centers and targeted cities.
Coordinate this schedule with marz and/or city authorities; ensure
appropriate space for the meetings and timely information dissemination;
- Review proposals received in response to the CSHF Calls for Proposals
in accordance with the scope defined by the PM. Assess technical
feasibility of proposed projects based on criteria defined by the
program and based on proposals' documentation. Conduct site visits for
further assessment of proposals and advise the PM where experts'
outsourcing is required;
- Participate in training of Sub-Grantees and prepare handouts for
trainees;
- Oversee the implementation of sub-grant projects. Liaise with
communities and local authorities on day-to-day basis and provide
on-going assistance to sub-grantees. Ensure timely provision of
technical expertise, where required, and coordinate with experts issues
related to effective planning, implementation and monitoring of
projects. When requested, provide any other assistance, as it may
enhance the impact or effectiveness of the on-going projects;
- Conduct site visits of community-based projects and monitor
sub-grantees' activities. Inform the PM about progress made and any
problems encountered. Assist Monitoring and Evaluation Officer in
carrying out mid-term and final evaluation of all projects.","- Degree from a recognized institute in social science, economics,
engineering or any related field;
-  minimum of three years working experience for a local or an
international humanitarian relief and development organization with
particular emphasis on community and NGO development;
- Good analytical and organizational skills. High level of maturity,
responsibility and accountability. Sound judgment and attention to
details;
- Excellent interpersonal skills, including patience, diplomacy,
willingness to listen and respect for colleagues. Must be capable of
working both individually and as a part of a Team;
- Ability to work effectively in a fast-paced, stressful environment.
Must be flexible. Willing to perform other duties and work irregular
hours;
- Fluency in written and spoken Armenian. Fluency in written and spoken
English is a must! Applicants who do not pass a written test will not be
invited to an interview;
- Excellent computer skills in MS Word and Excel.",False
Intern,,,"- Fluency in written and oral English and Armenian. Good knowledge of
Russian would be an asset;
- Demonstrated proficiency in MS Word, Excel, Internet usage; 
- University degree, preferably in marketing; 
- Willingness to work outdoors and travel to rural areas;
- Willingness to work extended hours and weekends if requested;
- Ability to work in a team environment; excellent interpersonal and
organizational skills.",False
Game Developer Specialist,"The IT company is looking for high qualified Game
Developers to form a dynamic team that will work on various Game
Development projects.",,"Experience in game developing.
The selection will be based upon the work experience, skills, abilities
and created game demo versions.",True
Executive Director,"In close coordination with the Board of Trustees, the
position holder will develop and implement an integrated strategy for
the Education for Sustainable Development Foundation (ESDF); provide
overall operational and technical management of ESDF including
overseeing programs design and development, implementation and
evaluation; serve as a key liaison between the ESDF and partner
organizations, donors and the NGO community; lead and maintain
fundraising initiatives and network/ linkages with potential partners
and outreach components.","Organizational and Financial Management
- Oversee office operations, including the management of the
Foundation's property and financial assets;
- Directly supervise ESDF staff and be responsible for dealing with
human resource issues. Sign contracts, including employment contracts,
with foundation's employees and act as employer (in accordance with
prevailing Republic of Armenia legislation);
- Establish and maintain contacts/ relationships with other agencies in
Armenia/ Caucasus who are either funding or implementing
education-related programming, including: international donors,
multilateral agencies, local and international NGOs, Government of
Armenia representatives at all levels (particularly within the Ministry
of Education) that allow the program to be informed of and to complement
other trends, activities and programs implemented within the education
sector in Armenia;
- Implement other activities defined by the goals, purposes, rights and
responsibilities of the Foundation mentioned in the Foundation's
Charter, except those that are related to the Board of Trustees;  
- Lead the implementation of the ESDF strategy and influence staff
towards a shared ESDF mission, vision and goals. Mentor and train ESDF
staff in the development of appropriate skills, to enable them to gain
hands-on experience in implementing ESDF's strategy;
- Ensure the proper financial management of donor funds, including
assurances that program expenses fall within approved budget limits.
Manage and monitor organizational and/or project budgets;
- Ensure ESDF meets necessary funding requirements;
- Support the formation of lasting partnerships and linkages among
education stakeholder organizations/ groups in the US and Europe as the
foundation for the sustainability of Parent-School Partnerships and
education reform in the region;
- In consultation with the Board of Trustees, fundraise for the
foundation including the development and implementation a fundraising
strategy for attracting and obtaining funds nationally and
internationally;
- Maintain updates on the Republic of Armenia's education strategies,
education-related legislation and policies;
- Regular communication and/or reporting of organizational activities to
Board of Trustees. 
Representation
- Act on behalf of the Foundation and represent its interests;
- Represent ESDF in education-related strategic meetings and network
with other major education players in Armenia;
- Represent ESDF to Ministry of Education and Science and other
partnering Ministries, donor community, implementing partners, and
international and local NGOs.
Program Management  Through a process of close cooperation with the
Programming Director, provide the guidance and assistance required for
the Programming Director to carry out within ESDF his/her following
chief responsibilities:
- Development and implementation of organizational program strategies;
- Investigation of potential project areas and initiate appropriate
interventions;
- Drafting of project proposals and coordination of associated budget
development;
- Initiation and lead of the project design process and planning of the
project cycle;
- Oversight of the implementation of all projects;
- Facilitate the development of structure for program planning,
performance and quality monitoring and evaluation of project
interventions;
- Establishment and maintenance of ""best practice standards"" for all
programs;
- Provision of technical advice and support during development of
training materials and curricula, program planning and implementation;
- Oversight of the preparation of reports (technical and financial)
according to partner and donor reporting requirements and systems.","- Three years of experience in NGO sector;
- Working experience with international organizations;
- Experience in working with government officials and donor community;
- Good knowledge of international donor assisted education and social
programs; 
- University diploma in Education, Social Sciences or other related
field;
- Master's degree in Management or Public Administration is a plus;
- Self-guided with strong organizational and planning skills;
- Strong managerial and analytical skills;
- Strong interpersonal, communication and negotiation skills;
- Strong leadership and mentoring skills;
- Strong capacity building and teambuilding/ facilitation skills;
- Excellent time-management skills;
- Experience of and commitment to team approaches and participatory
methods of working with groups of people, excellent proposal writing
skills;
- Proven ability to motivate and integrate team members to achieve
projected goals;
- Innovativeness and creativity;
- Exceptionally strong conceptualization and problem solving skills;
- Demonstrated ability to work collaboratively with a broad range of
professional counterparts within and outside of the organization;
- Experience in utilizing spreadsheets and word processing systems;
- Superb verbal and writing skills for English and Armenian. Russian
would be a plus.",False
Corporate Director,"We are looking for a Corporate Director to head up
the Corporate Film Unit and the Design Unit. This is a senior
management. He/she will be fully responsible for the management and
deliverables of the corporate/ design department. The Corporate Director
assist the units with the day to day management of their work loads, set
future targets, and insure quality control. The Corporate Director will
also get involved in attracting more clients through active involvement
in the international community of Yerevan, Armenia.","- Manage the two teams (corporate/ design);
- Manage client relationships at a senior level;
- Acquire new business for the units;
- Oversee the management of corporate/ design portfolios;
- Manage all financial matters pertaining to the corporate/ design
departments;
- Prepare, implement and follow up on strategic plans, budgets and
targets for the departments;
- Writing proposals for documentary corporate film and graphic design
projects;
- Generating ideas for fundraising.","- Excellent managerial skills;
- Fluency in written and spoken English;
- 1-3 years managerial experience in an international organization;
- At least half a year academic or work related experience overseas;
- Excellent organizational skills;
- Proven leadership skills;
- Experience in writing proposals (in English);
- Experience in media/ broadcasting will be a plus; 
- The candidate should be comfortable working in high pressure, deadline
oriented, work environments.",False
IT Teacher  (full time),,,"- Degree in Computer Science, Information Technology or related
discipline (Bachelor's Degree in the relevant field required, Master's
Degree preferred); 
- At least 3 years of teaching experience;
- Knowledge of one of programming languages (C++/Visual C++; VB);
- Knowledge of Ms Office 2000.
Additional Characteristics:
- Ability to work under pressure; 
- Ability to work in a team.
REMUNERATION:   45000 Drams",False
"Marketing Specialist, Commodity Export","Valensia Expo is looking for a Marketing Specialist,
Commodity Export.",,"- Postgraduate degree will be considered as a plus;
- Previous work experience in a relevant position will be considered as
a plus;
- Fluent knowledge of Russia, English and computers;
- Dyamic and ambitious personality;
- Managing and organizing skills;
- Team spirit.",False
"Assistant to Director, Translator/ Interpreter","We are looking for highly qualified, energetic and
experienced professionals to fill the position of Assistant to Director.","- Translating and preparing letters and other office materials;
- Keeping updated the schedule of meetings and invitations for the
Director; 
- Coordinating the work of subordinate employees, Receiving visitors;
- Assisting in the logistics of visiting guests;
- Preparing monthly report of international telephone/fax expenses at
the office;
- Answering telephone calls, sending fax, email, making photocopies for
office needs;
- Performing other responsibilities by the request of the Director
and/or Program Coordinator.
In addition to responsibilities outlined above, the post will
occasionally entail duties outside the normal working hours, such as
managing events, accompanying visitors, working to meet deadlines, etc.","- Secondary education with a specialization in the English language; 
- Excellent English, Armenian and Russian language skills (written and
oral); 
- A practical translation/ interpretation experience;
- Previous experience of working for international organizations will be
also an asset;
- Ability to prioritize competing tasks, even under pressure, in a
methodical and systematic manner;
- Experience in working using her/his own initiative as well as working
in a team;
- Excellent inter-personal and communication skills;
- Excellent organizing skills, including event organization;
- An international outlook and interest in developmental issues;
- Comfortable in dealing with high-level dignitaries and working in an
international environment;
- Flexibility and good humor are essential.
REMUNERATION:   Competitive",False
IT Specialist  (full time),"ACRA Credit Bureau seeks to fill the long-term
position of IT specialist. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process, including design, implementation, testing and delivery.",,"The successful candidate will demonstrate the
following qualifications and competencies:
- Degree in Computer Science, Information Technology or related
discipline (Bachelor's Degree in the relevant field required, Master's
Degree preferred);
- At least 2 years of  job experience;
- Knowledge and experience on Oracle database;
- Database design, proficiency in SQL, PLSQL; 
- Knowledge and experience in software application development in Java
programming language;
- Experience in developing client/server applications and/or web based
applications in Java running on Oracle database;
- Knowledge of setting network, software setup and maintenance is a
plus.
Additional Characteristics:
- Ability to work under pressure and in multi-task environment; 
- Ability to work in a team while being self-directed and highly
motivated;  
- Excellent analytical and problem-solving skills and attention to
detail;
- Excellent interpersonal and organizational skills;
- Fluency in English and Armenian.
REMUNERATION:   Competitive, depends on skills and previous experience.",True
NGO Training on the Framework Convention for the Protection of,,,,False
Human Rights Award,,,,False
Accountant/ Financial Officer,"SEF International Ltd. is looking to recruit
qualified and experienced Accountant/ Financial Officer for its Head
Office in Yerevan. This position will carry out routine accounting as
well as be responsible for preparation of financial reports to local
authorities, including the Central Bank of RA.",,"- University degree or respected certificate in Finance or Accounting;
- At least three years of relevant experience in micro-finance or
banking field; 
- At least two years of relevant experience in reporting to the Central
Bank of RA and tax authorities; 
- Proven knowledge of Generally Accepted Accounting Principles,
International and Armenian Accounting Standards; 
- Ability to financial data processing; 
- Skills in fiscal reporting, ability to resolve taxation issues; 
- Practical knowledge of Central Bank of RA reporting, financial systems
and internal controls in Armenia; 
- Analytical skills and good attention to details; 
- Computer literacy and working knowledge of word processor and
spreadsheet applications; knowledge of Sun Systems is preferred; 
- Ability to work in a team and with multi-national staff; 
- Verbal and written communication skills in Armenian, English and
Russian.",False
"Community Development, Capacity Building and Conflict","Food Security Regional Cooperation and Stability
Programme in South Caucasus (FRCS) seeks to fill the position of
Community Development, Capacity Building and Conflict Management
Consultant.","- Assist the Tavush Marz communities and community unions in developing
and strengthening their capacities and structures of local self
governance;
- Identify impacts and further needs for capacity building measures at
local level including civil society actors;
- Conduct surveys, analysis and monitoring of local conflict and make
necessary recommendations; 
- Organize meetings, discussions and prepare reports (in the Armenian,
Russian and English languages).","- Higher Education and/or professional experience in economics,
community development or a related field;
- Fluent knowledge of the Armenian, Russian and English languages
(written and oral) is compulsory;  
- Sufficient capabilities in carrying out sector analysis, providing
consultancies and drafting documents;
- Computer skills MS Office 2000 (compulsory);
- Personal initiative as well as ability and willing to work as a team
member;
- Very good communication skills;
- Work experience with international organizations (preferable);
- Ability and willing to work overtime and under time pressure as well
as frequent travels.",False
Web Designer,"ACRA Credit Bureau seeks to fill the position of Web
Designer. Ideally, this position will be filled by a candidate who has
experience in all aspects of Web Designing.","Translate into Armenian and Russian a web-site
and adjust it to needs of ACRA Credit Bureau.","The successful candidate will demonstrate the
following qualifications and competencies:
- Degree in Computer Science, Web Designing, Information Technology or
related discipline (Bachelor's Degree in the relevant field required,
Master's Degree preferred);
- At least 3 years of job experience in web design;
- Knowledge of HTML and JavaScript;
- Knowledge of ISP and PHP;
- Fluency in written and spoken English, Armenian and Russian is a must.
Additional Characteristics:
- Ability to work under pressure and in multi-task environment; 
- Ability to work in a team while being self-directed and highly
motivated;  
- Excellent analytical and problem-solving skills and attention to
detail;
- Excellent interpersonal and organizational skills.
We would like to see web pages that you had made.",False
Global Supplementary Grant Program,,,,False
Small Grants Pilot Projects on Human Rights Education,,,,False
Administrative and Programmatic Intern,,,"- Fluency in English and Armenian;
- Good communication skills;
- Ability to work independently and as part of a team.",False
Financial Manager,"ABSER Ltd. is looking for a personality to recruit
him in the area of car service financial management and business
development. The position is a senior management. The incumbent will be
responsible for managing day to day activities and bringing the
enterprise to more organized and modern condition in compliance with
western management standards.","- Manage all financial matters pertaining to the enterprise;
- Prepare, implement and follow up on strategic plans, budgets and
targets of the company;
- Marketing data collection, sorting and analyzing;
- Liaise with relevant counterparts, partners, state bodies;
- Effective preparation, maintenance, and reporting of internal and
external financial records and analyses;
- Implement general and every day accounting of the organization in
accordance with the requirements of the company owners and in compliance
with the RA law;
- Ensure that accurate and complete accounting, reporting and internal
control systems are functioning and that all relevant records are
maintained;
- Maintain employee payroll;
- Play a leading role in the preparation of expressions of interest for
new assignments;
- Maintain inventory records, which are to be checked quarterly with the
actual inventory.","- Strong analytical skills, ability to make recommendations and present
proposals for improvement or change of company activities;
- Excellent time-management skills combined with strong interpersonal
and communication skills;
- Well developed problem solving skills (innovative and creative);
- Demonstrated ability to work collaboratively with a broad range of
professional counterparts within and outside the organization;
- Demonstrated ability to maintain confidentiality;
- Essential knowledge of RA legislation (Civil and Labor Codes and Tax
legislation, reporting requirements);
- Minimum 2 years of experience in relevant field;
- Degree in Business Administration;
- Strong consulting skills as well as previous consulting experience.",False
Administrative and Programmatic Intern,,,"- Fluency in English and Armenian;
- Good communication skills;
- Ability to work independently and as part of a team.",False
Finance Assistant/ Accountant,"UMCOR Armenia is looking to hire a Finance Assistant/
Accountant for its Yerevan and Goris Offices. The Finance Assistant/
Accountant reports to Finance Director.","- Daily petty cash account and recording all UMCOR field expenditures
dispensing petty cash;
- Performing daily petty cash reconciliation with Finance Officer;
- Assist with maintenance of personal records to include time sheets and
leave forms;
- Reconcile monthly fuel utilization and vehicle maintenance records;
- Assist with translation and other tasks as required;
- Other tasks assigned by the supervisor(s).","- University degree in Finance, Economics or Accounting;
- Experience in financial sector;
- Computer skills (Word and Excel);
- Excellent analytical and organizational skills.",False
Engineer/ Supervisor for the Global Fund Project,"The United Nations Development Programme in Armenia
announces opening for the position of  Engineer/ Supervisor for the
Global Fund Project.","The incumbent will be responsible for the
following issues:
- Prepare the Global Fund Project Infrastructure Component work-plan;
- Assist the Unit Manager/UM in supervision of work process and in
provision of technical assessment;
- Undertake necessary revision of the scope of works in relation to
modifications, additions and/or omissions;
- Establish, maintain and update registry/archive of all the documents
related to Global Fund Project services/activities;
- Prepare the Site Supervision plan;
- Inspect the construction works to check whether performance compiles
with specifications and drawings;
- Prepare relevant technical documentation and work execution progress
reports.","- Advanced University degree in Civil Engineering, Architecture or
related discipline;
- Minimum five years relevant experience in relevant field;
- Experience in administering and supervision of civil and structural
construction practices and quality control procedures;
- Sufficient knowledge of building codes and regulations, construction
terminology and pricing;
- Ability to read and interpret technical drawings and specifications;
- Previous exposure to international funded relevant projects preferably
with UN is an asset;
-  Proficiency in the usage of computers and office software package (MS
Word, Excel, Power Point) and competency in the handling of web based
management systems (Internet, Intranet);
- Basic knowledge of CAD based programmes is a plus;
- Fluent in Armenian, Russian and English.",False
Project Development Officer,,,,False
Project Deputy Director,"Under the supervision of the USDA-MAP
Director/Coordinator, the Deputy Director will assist the Project
Director/Coordinator and provide oversight on all programs and their
operations, with a strong focus on the technical and programmatic
aspects, monitoring and impact evaluation, training, coordination of MAP
projects with outside development implementers, and help build capacity
within Armenian agribusinesses. The Deputy Director will advise the
Director/Coordinator on USDA-MAP programs on food marketing,
agriculture, and rural and agribusiness development.","- Provide management support and advisory services to TDY consultants
and to staff members and ensure coordination between Teams;
- Develop approaches to streamline project/program management;
- Contribute to the preparation of strategic initiatives and monitor
their implementation throughout Armenia;
- Assist the Project Director/Coordinator with daily project management
and in project planning, oversight, and implementation.  
- Support the Director/Coordinator to liaison with Armenian-based
development organizations, agricultural agencies-including developing
and strengthening technical collaboration with these organizations and
others working in the area of agriculture and food marketing;
- Provide oversight of the transition to local ownership and coordinate
activities ensuring that implementation matches with the strategies set
earlier.","- Post-graduate academic qualifications/advanced university degree(s) in
a field of agriculture, agribusiness management, or food marketing
corresponding to one or more of the listed technical areas is strongly
preferred;
- A minimum of 10 years of technical, managerial, and logistical
experience with international and/or national Armenian organizations
dealing with development issues with emphasis on agriculture, food
marketing, or rural development. Experience with USDA/USAID or other
international organization(s) is highly desirable;
- Experience in teamwork and team building skills, project/program
creation and management of complex assignments. Ability to lead and work
effectively with a diverse team of people of different national and
cultural backgrounds;
- Good knowledge of Armenian private and public institutions and
policies;
- Excellent communication and negotiation skills;
- Excellent Armenian, Russian, and English communication skills, both
verbal and written.  Computer skills, including Microsoft Word and
Excel.",False
Sales & Marketing Specialist,"Valensia Hotel & Resort is looking for a Marketing
Specialist.","The main responsibility is to secure the amount
of the hotel reservations by creating warm, friendly business partners
(tour agences, Embasses, Consulates, Int. organizations etc.).","- Higher education;
- Excellent knowledge of English language;
- Excellent computer skills;
- Dynamic and attractive personality;
- Excellent communication skills and to be a skillful negotiator;
- To be creative in promoting advertising ideas.",False
Loan Promoter,"MDF-Kamurj is currently looking to recruit a Loan
Promoter for its Vanadzor branch.","The Loan Promoter recruits clients, offers them
MDF-Kamurj services, assists with group-formation and loan application
process, oversees repayment and responds to late payments.","- Applicants must be up to 40 years old and live in Vanadzor;
- Willingness to spend 90% of time in the field;
- Excellent facilitation skills;
- Strong problem-solving skills and ability to work well with others.",False
Executive Assistant (part time),"In close collaboration with John Snow, Inc and
Ministry of Health of RA Synergy International Systems, Inc./ Armenia
currently develops a pharmaceutical information management system.
Within the framework of this project Synergy International Systems,
Inc./Armenia seeks to fill the short-term position of Executive
Assistant. 
The responsibilities of this position are focused on providing technical
assistance and administrative support to the core members of the
development team and various other staff members involved in the
project. 
This part-time position will be filled by a person with a Computer
Science background. Graduates and Undergraduates are preferred. The
Executive Assistant shall perform such administrative duties as may be
specified by the Project Manager. The Executive Assistant will be chosen
solely on the basis of his/her qualifications of an assistant with
particular emphasis on his/her educational background, organizational
and interpersonal skills.","Specific tasks and key responsibilities include
but are not limited to:
- Assistance with data collection;
- Assistance with data entry process;
- Collaboration with the Ministry of Health, UMCOR, and IRD.","- Undergraduate or Graduate degree in Computer Science, Information
Technology or related discipline (Bachelor's Degree in the relevant
field is preferred); 
- Successful experience in IT projects is desirable;
- Familiarity with word processing software (MS Word and Excels);
- Basic understanding of relational database management systems.
ADDITIONAL CHARACTERISTICS:  
- Ability to work under pressure and in multi-task environment; 
- Ability to work in a team while being self-directed and highly
motivated;  
- Attention to details;
- Excellent interpersonal and organizational skills;
- Fluency in English.",False
